日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,振幅,涨跌额
2025-05-29,3.45591792,3.48520536,3.43639296,3.47544288,11287640,40116569.8,1.116,0.8498583569405138,1.420454545454548,0.029287440000000053
2025-05-30,3.47544288,3.48520536,3.43639296,3.4656804,12406004,43980231.72,1.2266,-0.2808988764044895,1.420454545454548,-0.009762480000000018
2025-06-03,3.45591792,3.47544288,3.44615544,3.4656804,7401360,26260873.4,0.7318,0.0,0.8498583569405114,0.0
2025-06-04,3.47544288,3.50473032,3.45591792,3.50473032,8637543,30810890.51,0.854,1.1267605633802802,1.412429378531076,0.03904992000000007
2025-06-05,3.49496784,3.50473032,3.47544288,3.48520536,7143070,25508133.76,0.7062,-0.5571030640668551,0.8426966292134846,-0.019524960000000036
2025-06-06,3.48520536,3.5144928,3.47544288,3.49496784,7672504,27451482.56,0.7586,0.2801120448179262,1.1235955056179796,0.009762480000000018
2025-06-09,3.49496784,3.50473032,3.47544288,3.50473032,8245964,29490120.76,0.8153,0.27932960893854997,0.8426966292134846,0.009762480000000018
2025-06-10,3.50473032,3.50473032,3.42663048,3.45591792,12627292,44838723.76,1.2484,-1.392757660167132,2.2792022792022837,-0.04881240000000009
2025-06-11,3.45591792,3.48520536,3.44615544,3.4656804,6422673,22825339.15,0.635,0.28248587570620654,1.133144475920682,0.009762480000000018
2025-06-12,3.45591792,3.4656804,3.42663048,3.44615544,9201899,32465083.72,0.9098,-0.5633802816901401,1.1396011396011418,-0.019524960000000036
2025-06-13,3.43639296,3.43639296,3.35829312,3.37781808,12948800,44956044.0,1.2802,-1.9830028328611915,2.325581395348842,-0.06833736000000012
2025-06-16,3.34853064,3.38758056,3.33876816,3.37781808,7447161,25732146.67,0.7363,0.0,1.46198830409357,0.0
2025-06-17,3.38758056,3.39734304,3.3680556,3.37781808,5777300,19996805.0,0.5712,0.0,0.8695652173913059,0.0
2025-06-18,3.3680556,3.37781808,3.32900568,3.33876816,7470287,25591801.22,0.7386,-1.1560693641618491,1.4662756598240496,-0.03904992000000007
2025-06-19,3.32900568,3.34853064,3.2704308,3.2704308,10985772,37102843.84,1.0861,-2.0467836257309857,2.3880597014925278,-0.06833735999999968
2025-06-20,3.28019328,3.3192432,3.2704308,3.29971824,8606387,29041604.68,0.8509,0.8955223880596996,1.4925373134328248,0.02928743999999961
2025-06-23,3.2704308,3.35829312,3.26066832,3.32900568,9350773,31713541.39,0.9245,0.8875739644970349,2.994011976047896,0.029287440000000053
2025-06-24,3.35829312,3.416868,3.34853064,3.40710552,13798917,47859933.36,1.3643,2.346041055718473,2.040816326530616,0.07809984000000014
2025-06-25,3.40710552,3.416868,3.37781808,3.416868,9334184,32540250.44,0.9229,0.2865329512893977,1.1560693641618518,0.009762480000000018
2025-06-26,3.416868,3.416868,3.38758056,3.39734304,7530980,26253580.4,0.7446,-0.5714285714285672,0.8645533141210391,-0.019524960000000036
2025-06-27,3.416868,3.45591792,3.40710552,3.44615544,13511884,47612597.68,1.3359,1.4367816091954033,1.432664756446994,0.04881240000000009
2025-06-30,3.44615544,3.4656804,3.43639296,3.45591792,8270864,29206795.28,0.8177,0.28328611898016387,0.8522727272727287,0.009762480000000018
2025-07-01,3.45591792,3.4656804,3.43639296,3.4656804,9158648,32355408.88,0.9055,0.28248587570620654,0.8522727272727287,0.009762480000000018
2025-07-02,3.4656804,3.47544288,3.44615544,3.47544288,9299391,32984753.08,0.9194,0.28169014084507005,0.8498583569405114,0.009762480000000018
2025-07-03,3.48531726,3.5050641,3.46557042,3.47544384,9083800,32002503.0,0.8981,2.762237887310448e-05,1.1396011396011292,9.599999999387876e-07
2025-07-04,3.47544384,3.49519068,3.455697,3.47544384,8841904,31117253.2,0.8742,0.0,1.1428571428571455,0.0
2025-07-07,3.455697,3.5050641,3.455697,3.5050641,11313330,40019192.44,1.1185,0.8522727272727293,1.4285714285714286,0.029620259999999732
2025-07-08,3.5050641,3.53468436,3.49519068,3.53468436,11564658,41197716.54,1.1434,0.8450704225352101,1.1299435028248614,0.029620260000000176
2025-07-09,3.53468436,3.5544312,3.51493752,3.5544312,12449990,44659084.18,1.2309,0.5586592178770999,1.1235955056179672,0.01974683999999982
2025-07-10,3.5544312,3.6037983,3.54455778,3.59392488,14409053,52178531.93,1.4246,1.1111111111111072,1.6713091922005545,0.039493680000000086
2025-07-11,3.59392488,3.61367172,3.5544312,3.58405146,11956028,43375566.0,1.1821,-0.27472527472527375,1.6666666666666767,-0.00987341999999991
2025-07-14,3.58405146,3.61367172,3.57417804,3.61367172,10858190,39614223.56,1.0735,0.8264462809917328,1.10497237569061,0.029620260000000176
2025-07-15,3.61367172,3.62354514,3.53468436,3.57417804,14883688,53751072.92,1.4715,-1.0928961748633892,2.5139664804469297,-0.039493680000000086
2025-07-16,3.57417804,3.59392488,3.5544312,3.57417804,10204756,36943332.92,1.0089,0.0,1.1111111111111136,0.0
2025-07-17,3.57417804,3.59392488,3.54455778,3.56430462,10647608,38451962.4,1.0527,-0.2762430939226457,1.392757660167131,-0.00987341999999991
2025-07-18,3.57417804,3.58405146,3.54455778,3.56430462,10178232,36716754.28,1.0063,0.0,1.1142061281337072,0.0
2025-07-21,3.61367172,3.77164644,3.61367172,3.7518996,61239278,228694061.24,6.0547,5.263157894736836,4.371584699453549,0.18759497999999963
2025-07-22,3.7518996,4.02835536,3.6531654,3.98886168,104531838,407015567.44,10.3349,6.315789473684208,10.270270270270276,0.23696208000000007
2025-07-23,4.1468364,4.37392506,3.98886168,3.9987351,165615158,702482066.75,16.3742,0.24752475247524774,9.653465346534666,0.009873420000000355
