mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,600332,2021-10-18,S,S,A,C,S,S,A,26.1753,27.0700,26.0500,1.0200,,0,0.0000,0.0000,,0,0.0000
prebreak,600566,2021-10-18,S,S,A,C,S,S,A,13.3744,13.6300,12.9700,0.6600,,1,13.6300,16.4129,2021-11-15,0,4.1982
prebreak,601200,2021-10-18,S,S,A,C,S,S,A,9.3906,9.7500,9.2500,0.5000,,0,0.0000,0.0000,,0,0.0000
prebreak,600184,2021-10-19,S,S,A,C,S,S,A,11.2329,11.9600,11.3700,0.5900,,1,11.9600,11.8433,2021-11-11,0,-0.2131
prebreak,600345,2021-10-19,S,S,A,C,S,S,A,16.6830,17.3900,16.5400,0.8500,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2021-10-19,S,S,A,C,S,S,A,18.0342,18.1500,17.3200,0.8300,,0,0.0000,0.0000,,0,0.0000
prebreak,600990,2021-10-19,S,S,A,C,S,S,A,26.6704,24.1500,22.9900,1.1600,,1,24.1500,25.4244,2021-10-22,0,1.0821
prebreak,600036,2021-10-20,S,S,A,C,S,S,A,40.8121,41.8600,40.0700,1.7900,,0,0.0000,0.0000,,0,0.0000
prebreak,000997,2021-10-21,S,S,A,C,S,S,A,13.9706,14.2100,13.5700,0.6400,,0,0.0000,0.0000,,0,0.0000
prebreak,000977,2021-10-22,S,S,A,C,S,S,A,30.0198,30.3500,29.0400,1.3100,,1,30.3500,31.6148,2021-11-19,0,0.9473
prebreak,600566,2021-10-25,S,S,A,C,S,S,A,12.5478,13.6300,12.9700,0.6600,,1,13.6300,14.7913,2021-11-22,0,1.7427
prebreak,002755,2021-10-26,S,S,A,C,S,S,A,13.2478,12.2200,11.6600,0.5600,,0,0.0000,0.0000,,0,0.0000
prebreak,600184,2021-10-26,S,S,A,C,S,S,A,11.3905,11.5500,10.9600,0.5900,,1,11.5500,10.9600,2021-10-28,1,-1.0142
prebreak,603108,2021-10-26,S,S,A,C,S,S,A,10.7017,10.9600,10.4300,0.5300,,1,10.9600,12.6635,2021-11-23,0,3.1964
prebreak,000026,2021-10-29,S,S,A,C,S,S,A,9.5084,10.5900,10.0700,0.5200,,1,10.5900,10.4249,2021-11-26,0,-0.3328
prebreak,000977,2021-10-29,S,S,A,C,S,S,A,30.6007,30.9600,29.3600,1.6000,,1,30.9600,32.1859,2021-11-26,0,0.7510
prebreak,600566,2021-11-01,S,S,A,C,S,S,A,13.9490,12.8100,12.1800,0.6300,,1,12.8100,14.2796,2021-11-29,0,2.3158
prebreak,002142,2021-11-03,S,S,A,C,S,S,A,32.0291,32.8400,31.1300,1.7100,,0,0.0000,0.0000,,0,0.0000
prebreak,002695,2021-11-03,S,S,A,C,S,S,A,13.6770,13.5600,13.0500,0.5100,,1,13.5600,13.8771,2021-11-08,0,0.6013
prebreak,600036,2021-11-03,S,S,A,C,S,S,A,40.2669,42.1400,40.0700,2.0700,,0,0.0000,0.0000,,0,0.0000
prebreak,605222,2021-11-03,S,S,A,C,S,S,A,22.0069,21.0700,19.9800,1.0900,,1,21.0700,26.8609,2021-12-01,0,5.2947
prebreak,000333,2021-11-04,S,S,A,C,S,S,A,56.2737,57.5800,54.8000,2.7800,,0,0.0000,0.0000,,0,0.0000
prebreak,000977,2021-11-05,S,S,A,C,S,S,A,31.3194,30.9600,29.3600,1.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,600104,2021-11-05,S,S,A,C,S,S,A,20.1135,18.4500,17.5400,0.9100,,1,18.4500,18.9543,2021-11-10,0,0.5384
prebreak,600566,2021-11-08,S,S,A,C,S,S,A,14.0356,12.8100,12.1800,0.6300,,0,0.0000,0.0000,,0,0.0000
prebreak,000555,2021-11-09,S,S,A,C,S,S,A,11.3795,11.4400,10.9100,0.5300,,0,0.0000,0.0000,,0,0.0000
prebreak,000333,2021-11-11,S,S,A,C,S,S,A,57.3241,57.2500,54.2900,2.9600,,0,0.0000,0.0000,,0,0.0000
prebreak,600511,2021-11-11,S,S,A,C,S,S,A,27.1297,27.3200,26.1600,1.1600,,1,27.3200,26.7515,2021-12-09,0,-0.5077
prebreak,002262,2021-11-15,S,S,A,C,S,S,A,14.5656,13.9900,13.3200,0.6700,,0,0.0000,0.0000,,0,0.0000
prebreak,300168,2021-11-15,S,S,A,C,S,S,A,11.6200,11.6200,11.0900,0.5300,,0,0.0000,0.0000,,0,0.0000
prebreak,000002,2021-11-19,S,S,A,C,S,S,A,17.8022,16.4900,15.6400,0.8500,,0,0.0000,0.0000,,0,0.0000
prebreak,000581,2021-11-22,S,S,A,C,S,S,A,17.2225,15.3900,14.8500,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,300168,2021-11-22,S,S,A,C,S,S,A,11.9500,11.7900,11.2900,0.5000,,0,0.0000,0.0000,,0,0.0000
prebreak,603568,2021-11-22,S,S,A,C,S,S,A,17.3631,17.6300,16.7400,0.8900,,1,17.6300,22.3815,2021-12-20,0,5.3204
prebreak,000977,2021-11-26,S,S,A,C,S,S,A,32.1859,31.4100,29.9700,1.4400,,0,0.0000,0.0000,,0,0.0000
prebreak,300168,2021-11-29,S,S,A,C,S,S,A,11.5200,11.7900,11.2900,0.5000,,1,11.7900,12.7000,2021-12-27,0,1.8009
prebreak,600598,2021-11-29,S,S,A,C,S,S,A,11.9982,12.3500,11.8100,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,603896,2021-11-29,S,S,A,C,S,S,A,32.6814,32.7700,31.2100,1.5600,,0,0.0000,0.0000,,0,0.0000
prebreak,002698,2021-11-30,S,S,A,C,S,S,A,12.0897,11.7100,11.1700,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,002739,2021-12-01,S,S,A,C,S,S,A,14.1300,14.7600,14.1300,0.6300,,0,0.0000,0.0000,,0,0.0000
prebreak,002698,2021-12-07,S,S,A,C,S,S,A,11.3410,12.3100,11.7300,0.5800,,0,0.0000,0.0000,,0,0.0000
prebreak,300383,2021-12-09,S,S,A,C,S,S,A,14.0863,14.3200,13.7700,0.5500,,0,0.0000,0.0000,,0,0.0000
prebreak,600967,2021-12-09,S,S,A,C,S,S,A,10.0301,9.5600,9.0600,0.5000,,0,0.0000,0.0000,,0,0.0000
prebreak,603139,2021-12-09,S,S,A,C,S,S,A,20.9221,20.1500,19.1400,1.0100,,1,20.1500,21.4701,2022-01-07,0,1.2910
prebreak,000977,2021-12-10,S,S,A,C,S,S,A,34.0566,33.3000,31.5400,1.7600,,0,0.0000,0.0000,,0,0.0000
prebreak,600104,2021-12-10,S,S,A,C,S,S,A,19.3171,18.7000,17.7300,0.9700,,0,0.0000,0.0000,,0,0.0000
prebreak,002262,2021-12-13,S,S,A,C,S,S,A,13.8308,14.1800,13.5000,0.6800,,1,14.1800,14.8725,2022-01-11,0,1.0020
prebreak,603568,2021-12-13,S,S,A,C,S,S,A,21.4997,17.6300,16.7400,0.8900,,1,17.6300,19.1030,2022-01-11,0,1.6390
prebreak,002415,2021-12-16,S,S,A,C,S,S,A,45.6746,42.6300,41.0300,1.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,300383,2021-12-16,S,S,A,C,S,S,A,14.3906,14.5000,13.7700,0.7300,,0,0.0000,0.0000,,0,0.0000
prebreak,300868,2021-12-16,S,S,A,C,S,S,A,26.9433,25.9800,24.6200,1.3600,,0,0.0000,0.0000,,0,0.0000
prebreak,002595,2021-12-17,S,S,A,C,S,S,A,16.8439,18.2200,17.3300,0.8900,,0,0.0000,0.0000,,0,0.0000
prebreak,300285,2021-12-20,S,S,A,C,S,S,A,40.5590,42.5200,40.7400,1.7800,,0,0.0000,0.0000,,0,0.0000
prebreak,002925,2021-12-22,S,S,A,C,S,S,A,28.2491,28.5600,27.2500,1.3100,,0,0.0000,0.0000,,0,0.0000
prebreak,600729,2021-12-22,S,S,A,C,S,S,A,19.0130,17.3000,16.4700,0.8300,,0,0.0000,0.0000,,0,0.0000
prebreak,002415,2021-12-23,S,S,A,C,S,S,A,44.3278,46.1100,44.0200,2.0900,,0,0.0000,0.0000,,0,0.0000
prebreak,300383,2021-12-23,S,S,A,C,S,S,A,14.2238,14.5000,13.7700,0.7300,,1,14.5000,14.4201,2021-12-30,0,-0.1245
prebreak,300873,2021-12-23,S,S,A,C,S,S,A,20.7284,21.7600,20.8700,0.8900,,1,21.7600,20.8700,2022-01-20,1,-1.0180
prebreak,300838,2021-12-27,S,S,A,C,S,S,A,17.4093,16.9200,16.1500,0.7700,,1,16.9200,17.3811,2021-12-30,0,0.5818
prebreak,600446,2021-12-27,S,S,A,C,S,S,A,13.5706,14.1100,13.4900,0.6200,,0,0.0000,0.0000,,0,0.0000
prebreak,002925,2021-12-29,S,S,A,C,S,S,A,28.8966,28.6800,27.2500,1.4300,,0,0.0000,0.0000,,0,0.0000
prebreak,600729,2021-12-29,S,S,A,C,S,S,A,18.8234,19.7500,18.8200,0.9300,,0,0.0000,0.0000,,0,0.0000
prebreak,300383,2021-12-30,S,S,A,C,S,S,A,14.4201,14.4600,13.7600,0.7000,,0,0.0000,0.0000,,0,0.0000
prebreak,300873,2021-12-30,S,S,A,C,S,S,A,19.9021,21.7600,20.8700,0.8900,,1,21.7600,20.8700,2022-01-20,1,-1.0180
prebreak,000021,2022-01-04,S,S,A,C,S,S,A,15.4131,15.6000,14.9900,0.6100,,0,0.0000,0.0000,,0,0.0000
prebreak,300838,2022-01-04,S,S,A,C,S,S,A,18.3009,16.9200,16.1500,0.7700,,0,0.0000,0.0000,,0,0.0000
prebreak,600271,2022-01-04,S,S,A,C,S,S,A,13.2165,12.8100,12.1900,0.6200,,1,12.8100,12.8970,2022-01-07,0,0.1245
prebreak,000623,2022-01-06,S,S,A,C,S,S,A,15.8762,16.2500,15.4100,0.8400,,1,16.2500,15.4100,2022-01-19,1,-1.0141
prebreak,600729,2022-01-06,S,S,A,C,S,S,A,20.8509,19.7500,18.8200,0.9300,,0,0.0000,0.0000,,0,0.0000
prebreak,600201,2022-01-10,S,S,A,C,S,S,A,16.4014,14.9000,14.2000,0.7000,,0,0.0000,0.0000,,0,0.0000
prebreak,000021,2022-01-11,S,S,A,C,S,S,A,14.4671,15.6000,14.9200,0.6800,,0,0.0000,0.0000,,0,0.0000
prebreak,600446,2022-01-11,S,S,A,C,S,S,A,14.0651,14.2200,13.4900,0.7300,,0,0.0000,0.0000,,0,0.0000
prebreak,300383,2022-01-14,S,S,A,C,S,S,A,14.4790,14.4600,13.7600,0.7000,,1,14.4600,13.7600,2022-01-27,1,-1.0151
prebreak,002236,2022-01-17,S,S,A,C,S,S,A,17.9675,20.9500,19.9600,0.9900,,0,0.0000,0.0000,,0,0.0000
prebreak,603322,2022-01-17,S,S,A,C,S,S,A,13.5400,12.9300,12.3300,0.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,605177,2022-01-17,S,S,A,C,S,S,A,31.1361,27.0400,25.8300,1.2100,,1,27.0400,25.8300,2022-01-24,1,-1.0164
prebreak,002315,2022-01-19,S,S,A,C,S,S,A,11.2757,11.3000,10.7300,0.5700,,1,11.3000,11.1423,2022-02-23,0,-0.2916
prebreak,000895,2022-01-21,S,S,A,C,S,S,A,23.9734,24.7800,23.6600,1.1200,,0,0.0000,0.0000,,0,0.0000
prebreak,601952,2022-01-21,S,S,A,C,S,S,A,9.9378,11.0600,10.5000,0.5600,,0,0.0000,0.0000,,0,0.0000
prebreak,603322,2022-01-24,S,S,A,C,S,S,A,12.7200,12.9300,12.3300,0.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,605177,2022-01-24,S,S,A,C,S,S,A,24.8703,27.0400,25.8300,1.2100,,0,0.0000,0.0000,,0,0.0000
prebreak,002315,2022-01-26,S,S,A,C,S,S,A,10.5638,11.3000,10.7300,0.5700,,1,11.3000,11.1423,2022-02-23,0,-0.2916
prebreak,600887,2022-01-26,S,S,A,C,S,S,A,31.9514,33.2000,31.6000,1.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,601952,2022-01-28,S,S,A,C,S,S,A,9.3393,11.0600,10.5000,0.5600,,1,11.0600,11.6807,2022-03-04,0,1.0927
prebreak,000581,2022-02-08,S,S,A,C,S,S,A,16.7532,18.4300,17.5000,0.9300,,0,0.0000,0.0000,,0,0.0000
prebreak,002262,2022-02-08,S,S,A,C,S,S,A,13.3379,15.2400,14.5100,0.7300,,0,0.0000,0.0000,,0,0.0000
prebreak,600271,2022-02-08,S,S,A,C,S,S,A,13.0906,13.8900,13.1600,0.7300,,0,0.0000,0.0000,,0,0.0000
prebreak,600977,2022-02-08,S,S,A,C,S,S,A,11.6096,12.7600,12.1400,0.6200,,0,0.0000,0.0000,,0,0.0000
prebreak,603095,2022-02-08,S,S,A,C,S,S,A,11.8589,11.2700,10.7200,0.5500,,0,0.0000,0.0000,,0,0.0000
prebreak,603955,2022-02-08,S,S,A,C,S,S,A,13.9101,13.9300,13.2700,0.6600,,1,13.9300,15.5577,2022-03-08,0,2.4487
prebreak,688588,2022-02-08,S,S,A,C,S,S,A,13.3996,14.0200,13.3800,0.6400,,0,0.0000,0.0000,,0,0.0000
prebreak,002315,2022-02-09,S,S,A,C,S,S,A,10.9007,11.3000,10.7300,0.5700,,1,11.3000,11.1423,2022-02-23,0,-0.2916
prebreak,600776,2022-02-09,S,S,A,C,S,S,A,10.6773,11.6200,11.1000,0.5200,,0,0.0000,0.0000,,0,0.0000
prebreak,000885,2022-02-10,S,S,A,C,S,S,A,10.6090,10.3200,9.7800,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,600118,2022-02-10,S,S,A,C,S,S,A,24.9054,25.1200,23.9400,1.1800,,0,0.0000,0.0000,,0,0.0000
prebreak,600535,2022-02-10,S,S,A,C,S,S,A,13.0065,12.2200,11.6700,0.5500,,0,0.0000,0.0000,,0,0.0000
prebreak,000028,2022-02-14,S,S,A,C,S,S,A,21.3249,21.9000,21.0900,0.8100,,1,21.9000,21.0900,2022-03-08,1,-1.0199
prebreak,000581,2022-02-15,S,S,A,C,S,S,A,17.3868,17.6500,16.8800,0.7700,,0,0.0000,0.0000,,0,0.0000
prebreak,002262,2022-02-15,S,S,A,C,S,S,A,13.0681,13.4800,12.8500,0.6300,,0,0.0000,0.0000,,0,0.0000
prebreak,603955,2022-02-15,S,S,A,C,S,S,A,15.8473,13.9300,13.2700,0.6600,,0,0.0000,0.0000,,0,0.0000
prebreak,002315,2022-02-16,S,S,A,C,S,S,A,10.9325,11.2300,10.6500,0.5800,,1,11.2300,11.1423,2022-02-23,0,-0.1659
prebreak,002373,2022-02-17,S,S,A,C,S,S,A,13.5333,14.2100,13.5300,0.6800,,1,14.2100,13.5300,2022-03-04,1,-1.0153
prebreak,002022,2022-02-21,S,S,A,C,S,S,A,12.8003,12.8500,12.2100,0.6400,,0,0.0000,0.0000,,0,0.0000
prebreak,000062,2022-02-25,S,S,A,C,S,S,A,13.3578,13.7600,13.0400,0.7200,,0,0.0000,0.0000,,0,0.0000
prebreak,300244,2022-02-25,S,S,A,C,S,S,A,26.9195,27.0000,25.6400,1.3600,,0,0.0000,0.0000,,0,0.0000
prebreak,300349,2022-02-25,S,S,A,C,S,S,A,11.4235,11.3500,10.8100,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,600621,2022-02-28,S,S,A,C,S,S,A,11.7569,12.3900,11.8500,0.5400,,1,12.3900,11.8500,2022-03-24,1,-1.0168
prebreak,605100,2022-02-28,S,S,A,C,S,S,A,12.7695,11.5600,10.9500,0.6100,,1,11.5600,12.5716,2022-03-03,0,1.6430
prebreak,002030,2022-03-01,S,S,A,C,S,S,A,14.8926,15.0400,14.4000,0.6400,,0,0.0000,0.0000,,0,0.0000
prebreak,002262,2022-03-01,S,S,A,C,S,S,A,12.2775,13.1800,12.6500,0.5300,,0,0.0000,0.0000,,0,0.0000
prebreak,688588,2022-03-01,S,S,A,C,S,S,A,13.6818,13.6800,13.0100,0.6700,,0,0.0000,0.0000,,0,0.0000
prebreak,600776,2022-03-02,S,S,A,C,S,S,A,10.7261,10.9700,10.4700,0.5000,,1,10.9700,10.4700,2022-03-25,1,-1.0160
prebreak,002373,2022-03-03,S,S,A,C,S,S,A,13.6124,14.1500,13.5500,0.6000,,0,0.0000,0.0000,,0,0.0000
prebreak,002867,2022-03-10,S,S,A,C,S,S,A,12.8049,15.1900,14.4200,0.7700,,0,0.0000,0.0000,,0,0.0000
prebreak,300349,2022-03-11,S,S,A,C,S,S,A,10.5757,11.3500,10.8100,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,300349,2022-03-18,S,S,A,C,S,S,A,9.9688,11.3500,10.8100,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,600216,2022-03-22,S,S,A,C,S,S,A,13.7925,14.0900,13.4500,0.6400,,0,0.0000,0.0000,,0,0.0000
prebreak,600697,2022-03-23,S,S,A,C,S,S,A,11.3544,11.6300,11.0200,0.6100,,0,0.0000,0.0000,,0,0.0000
prebreak,000333,2022-03-25,S,S,A,C,S,S,A,44.6323,47.4800,45.3500,2.1300,,0,0.0000,0.0000,,0,0.0000
prebreak,600030,2022-03-25,S,S,A,C,S,S,A,18.1275,18.8300,18.0500,0.7800,,0,0.0000,0.0000,,0,0.0000
prebreak,002313,2022-03-30,S,S,A,C,S,S,A,12.6300,12.4100,11.7900,0.6200,,0,0.0000,0.0000,,0,0.0000
prebreak,600036,2022-03-31,S,S,A,C,S,S,A,36.4505,36.1300,34.3900,1.7400,,0,0.0000,0.0000,,0,0.0000
prebreak,600729,2022-03-31,S,S,A,C,S,S,A,19.0495,19.3200,18.4900,0.8300,,1,19.3200,18.4900,2022-04-12,1,-1.0171
prebreak,600030,2022-04-01,S,S,A,C,S,S,A,18.7949,18.6800,17.8100,0.8700,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2022-04-08,S,S,A,C,S,S,A,19.6337,19.2900,18.2900,1.0000,,0,0.0000,0.0000,,0,0.0000
prebreak,601601,2022-04-08,S,S,A,C,S,S,A,19.4227,19.5000,18.6600,0.8400,,0,0.0000,0.0000,,0,0.0000
prebreak,000997,2022-04-12,S,S,A,C,S,S,A,13.7237,15.4500,14.7300,0.7200,,0,0.0000,0.0000,,0,0.0000
prebreak,600030,2022-04-12,S,S,A,C,S,S,A,18.7771,19.0800,18.1100,0.9700,,0,0.0000,0.0000,,0,0.0000
prebreak,600271,2022-04-14,S,S,A,C,S,S,A,11.0767,12.3100,11.7900,0.5200,,0,0.0000,0.0000,,0,0.0000
prebreak,600036,2022-04-18,S,S,A,C,S,S,A,33.7946,36.6800,35.0600,1.6200,,0,0.0000,0.0000,,0,0.0000
prebreak,600419,2022-04-18,S,S,A,C,S,S,A,13.2784,13.3300,12.7900,0.5400,,1,13.3300,12.7900,2022-04-22,1,-1.0181
prebreak,600848,2022-04-18,S,S,A,C,S,S,A,12.3030,12.6900,12.0200,0.6700,,1,12.6900,12.0200,2022-05-17,1,-1.0138
prebreak,601318,2022-04-18,S,S,A,C,S,S,A,37.1014,38.6700,36.9000,1.7700,,0,0.0000,0.0000,,0,0.0000
prebreak,600030,2022-04-19,S,S,A,C,S,S,A,17.9940,19.0800,18.1100,0.9700,,0,0.0000,0.0000,,0,0.0000
prebreak,601628,2022-04-19,S,S,A,C,S,S,A,23.7502,25.0400,24.1100,0.9300,,0,0.0000,0.0000,,0,0.0000
