code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
000553,2015-01-29,S,14.06,0.72,-0.0199,0.0204,0.0,1R,-1.014,-1.014,1.0,direct_1r
600983,2015-02-03,S,10.73,0.51,0.0053,-0.0031,0.0,1R,-1.015,-1.015,1.0,direct_1r
000423,2015-02-09,S,29.52,1.47,0.0022,0.0406,0.0,1R,0.607,0.607,1.0,direct_1r
002038,2015-02-09,S,16.81,0.61,0.0002,0.0245,0.0,1R,5.655,5.655,1.0,direct_1r
000919,2015-02-10,S,11.99,0.6,0.009,-0.0014,0.0,1R,1.565,1.565,1.0,direct_1r
600847,2015-02-10,S,16.2,0.79,0.0006,0.0725,0.0,1R,5.045,5.045,1.0,direct_1r
600983,2015-02-10,S,10.73,0.51,0.0057,-0.0031,0.0,1R,-1.015,-1.015,1.0,direct_1r
000513,2015-02-11,S,12.72,0.59,0.0105,0.0183,0.0,1R,1.67,1.67,1.0,direct_1r
000917,2015-02-13,S,17.09,0.87,0.0023,0.1,0.0,1R,6.0,6.0,1.0,direct_1r
000963,2015-02-13,S,12.93,0.62,-0.0186,0.0431,0.0,1R,3.018,3.018,1.0,direct_1r
600062,2015-02-13,S,12.79,0.59,0.0579,0.0115,0.0,1R,5.467,5.467,1.0,direct_1r
600557,2015-02-13,S,19.5,0.79,0.0051,0.0122,0.0,1R,1.429,1.429,1.0,direct_1r
000919,2015-02-17,S,11.99,0.6,-0.0042,-0.0014,0.0,1R,5.07,5.07,1.0,direct_1r
000028,2015-02-26,S,30.5,1.58,0.0057,0.0195,0.0,1R,2.682,2.682,1.0,direct_1r
000999,2015-02-26,S,11.77,0.5,0.0109,-0.0159,0.0,1R,-1.017,-1.017,1.0,direct_1r
600054,2015-02-26,S,9.97,0.51,0.0149,0.0369,0.0,1R,2.771,2.771,1.0,direct_1r
000963,2015-02-27,S,12.57,0.61,-0.0002,0.0431,0.0,1R,3.095,3.095,1.0,direct_1r
600557,2015-02-27,S,19.25,0.75,-0.0021,0.0111,0.0,1R,2.163,2.163,1.0,direct_1r
600315,2015-03-09,S,34.33,1.65,0.0067,0.0596,0.0,1R,3.253,3.253,1.0,direct_1r
002186,2015-03-11,S,19.47,0.85,-0.0103,0.02,0.0,1R,3.02,3.02,1.0,direct_1r
002140,2015-03-12,S,14.86,0.75,-0.0172,0.0239,0.0,1R,2.477,2.477,1.0,direct_1r
000963,2015-03-13,S,13.02,0.66,0.0576,0.1,0.0,1R,5.082,5.082,1.0,direct_1r
000869,2015-03-19,S,29.83,1.2,-0.0117,-0.0008,0.0,1R,6.442,6.442,1.0,direct_1r
002566,2015-03-20,S,13.95,0.65,0.0032,0.0244,0.0,1R,2.713,2.713,1.0,direct_1r
600859,2015-03-23,S,14.39,0.71,0.0333,-0.0117,0.0,1R,5.149,5.149,1.0,direct_1r
000869,2015-03-26,S,30.83,1.04,0.0346,-0.0135,0.0,1R,6.807,6.807,1.0,direct_1r
000823,2015-03-30,S,11.18,0.58,-0.0252,-0.0098,0.0,1R,2.767,2.767,1.0,direct_1r
002041,2015-03-31,S,13.5,0.59,0.04,0.0925,0.0,1R,5.793,5.793,1.0,direct_1r
000538,2015-04-02,S,36.45,1.81,0.0019,0.0291,0.0,1R,-0.295,-0.295,1.0,direct_1r
600535,2015-04-30,S,28.51,1.34,-0.0115,0.0276,0.0,1R,2.006,2.006,1.0,direct_1r
000553,2015-05-04,S,15.98,0.75,0.0019,0.1003,0.0,1R,1.993,1.993,1.0,direct_1r
000553,2015-05-25,S,14.78,0.66,0.0197,0.035,0.0,1R,5.089,5.089,1.0,direct_1r
601877,2016-08-29,S,17.02,0.66,0.0014,0.0312,0.0,1R,2.068,2.068,1.0,direct_1r
600566,2016-09-28,S,20.29,0.85,-0.0013,0.0706,0.0,1R,3.441,3.441,1.0,direct_1r
002649,2016-10-14,S,11.96,0.55,0.0047,0.0349,0.0,1R,3.538,3.538,1.0,direct_1r
000423,2016-10-26,S,46.57,2.26,0.0144,0.0512,0.0,1R,-0.664,-0.664,1.0,direct_1r
