code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
002462,2020-07-31,S,13.22,0.63,0.0557,0.0867,1.1195,V3,1.537,1.537,1.0,confirmed
603657,2020-09-29,S,17.33,0.83,-0.0374,0.0814,1.0886,V3,3.766,3.766,1.0,confirmed
300349,2020-10-19,S,13.71,0.72,0.0598,0.0384,1.0021,V3,0.025,0.012,0.5,reject_half
002422,2020-10-28,S,20.64,1.06,0.018,0.0219,1.0208,V3,-1.014,-1.014,1.0,confirmed
300583,2020-10-28,S,18.7,0.83,0.0166,0.0464,0.0,V3,-1.016,-0.508,0.5,stop_half
600487,2020-10-29,S,14.77,0.65,-0.0007,0.0294,1.0135,V3,-0.802,-0.802,1.0,confirmed
300422,2020-11-03,S,12.11,0.5,0.0117,0.0,0.9794,V3,-0.518,-0.259,0.5,reject_half
300771,2020-11-05,S,21.01,1.1,0.0234,0.0425,0.9832,V3,-0.335,-0.167,0.5,reject_half
300166,2020-11-13,S,12.83,0.66,0.0,0.024,0.9992,V3,-0.03,-0.015,0.5,reject_half
300616,2020-11-27,S,52.73,2.63,0.0514,0.03,1.1479,V3,5.363,5.363,1.0,confirmed
600585,2020-12-10,S,42.39,1.95,-0.0004,0.0786,0.0,V3,-1.016,-0.508,0.5,stop_half
002886,2021-01-14,S,14.59,0.67,-0.0105,0.009,1.0423,V3,-1.016,-1.016,1.0,confirmed
002268,2021-01-21,S,17.23,0.64,-0.0111,0.1001,1.0454,V3,1.201,0.6,0.5,reject_half
601088,2021-02-01,S,12.07,0.63,-0.0241,0.0431,0.9919,V3,-0.169,-0.085,0.5,reject_half
002734,2021-02-18,S,10.96,0.55,-0.0061,0.0363,1.1734,V3,0.702,0.702,1.0,confirmed
000935,2021-02-19,S,12.57,0.62,0.0568,-0.0108,1.0574,V3,0.69,0.69,1.0,confirmed
600585,2021-02-19,S,38.57,1.79,0.0522,-0.0046,1.0328,V3,0.008,0.008,1.0,confirmed
000997,2021-02-23,S,13.79,0.61,-0.004,0.0554,0.9992,V3,-0.035,-0.018,0.5,reject_half
000651,2021-03-03,S,41.99,2.18,-0.0076,0.0367,1.0334,V3,0.691,0.691,1.0,confirmed
000581,2021-03-11,S,17.77,0.93,-0.0021,0.0296,1.0368,V3,0.688,0.688,1.0,confirmed
002222,2021-03-11,S,11.47,0.55,-0.0063,-0.0524,1.0261,V3,5.025,5.025,1.0,confirmed
300036,2021-04-30,S,16.44,0.59,-0.0198,0.0436,1.0242,V3,4.869,4.869,1.0,confirmed
000063,2021-05-20,S,27.09,1.38,-0.001,0.0251,1.012,V3,3.035,3.035,1.0,confirmed
000063,2021-05-27,S,27.41,1.45,0.0262,0.0272,1.0514,V3,1.518,1.518,1.0,confirmed
603590,2021-06-02,S,35.41,1.47,0.0035,0.013,1.0416,V3,-0.209,-0.209,1.0,confirmed
002930,2021-06-03,S,14.32,0.64,0.0518,0.0253,1.0087,V3,0.178,0.089,0.5,reject_half
300723,2021-06-08,S,18.03,0.92,-0.0099,0.085,1.1084,V3,2.393,2.393,1.0,confirmed
002151,2021-06-17,S,43.61,2.11,-0.0061,0.023,1.0312,V3,-1.015,-1.015,1.0,confirmed
000063,2021-07-02,S,30.79,1.59,-0.0323,0.1001,1.0726,V3,2.986,2.986,1.0,confirmed
002741,2021-07-07,S,15.99,0.83,0.1,0.0395,1.1983,V3,7.777,7.777,1.0,confirmed
300625,2021-07-29,S,13.5,0.56,0.0305,0.0401,0.9854,V3,-0.37,-0.185,0.5,reject_half
300348,2021-07-30,S,16.54,0.7,0.0236,0.1175,0.9897,V3,-0.262,-0.131,0.5,reject_half
603131,2021-07-30,S,16.84,0.74,-0.0017,0.0472,1.0904,V3,8.373,8.373,1.0,confirmed
000401,2021-08-04,S,11.06,0.51,-0.0064,0.0389,0.9976,V3,-0.069,-0.034,0.5,reject_half
300348,2021-08-06,S,16.54,0.7,-0.0306,0.0504,1.0551,V3,-1.017,-1.017,1.0,confirmed
600585,2021-08-06,S,31.04,1.58,-0.0202,0.0542,1.05,V3,-1.014,-1.014,1.0,confirmed
600371,2021-08-31,S,10.94,0.51,-0.0036,-0.0026,0.0,V3,-1.016,-0.508,0.5,stop_half
688550,2021-09-09,S,32.28,1.58,0.05,0.2,1.1519,V3,3.086,1.543,0.5,reject_half
600990,2021-09-10,S,24.24,0.95,0.0087,0.0742,0.0,V3,-1.019,-0.509,0.5,stop_half
000777,2021-09-13,S,11.04,0.55,0.059,-0.0444,1.1066,V3,0.164,0.164,1.0,confirmed
002946,2021-09-17,S,14.25,0.67,0.0078,0.0639,1.033,V3,1.031,1.031,1.0,confirmed
