code,date,grade,r,entry,cause
300207,2017-10-17,S,-3.06,11.85,slow_draw
600754,2017-10-20,S,-2.17,28.36,slow_draw
601877,2017-10-20,S,7.39,16.9,fade_high
600132,2017-10-23,S,-2.74,17.13,slow_draw
002589,2017-10-25,S,-3.48,14.32,fade_high
600699,2017-10-26,S,-0.95,25.88,slow_draw
000988,2017-10-31,S,-0.66,17.05,slow_draw
000988,2017-11-07,S,-1.93,18.1,slow_draw
002035,2017-11-07,S,-1.1,15.73,slow_draw
300146,2017-11-07,S,0.37,10.62,slow_draw
002597,2017-11-09,S,1.24,18.77,slow_draw
002626,2017-11-10,S,5.68,12.47,fade_high
300463,2017-11-10,S,-1.95,24.28,slow_draw
600585,2017-11-10,S,3.16,17.36,fade_high
600597,2017-11-10,S,-0.66,13.08,slow_draw
600754,2017-11-10,S,-0.05,26.62,slow_draw
603313,2017-11-16,S,-1.0,16.84,slow_draw
002311,2017-11-20,S,2.64,17.96,slow_draw
002321,2017-11-20,S,-1.75,13.18,fade_high
300183,2017-11-21,S,-0.21,18.57,slow_draw
600323,2017-11-24,S,-2.03,13.35,slow_draw
603900,2017-11-30,S,0.98,22.44,slow_draw
603883,2017-12-06,S,2.4,21.64,slow_draw
300270,2017-12-08,S,0.56,12.16,slow_draw
300024,2017-12-11,S,-1.12,19.22,slow_draw
300055,2017-12-11,S,-0.63,20.13,slow_draw
600435,2017-12-11,S,-0.78,12.43,slow_draw
600521,2017-12-14,S,2.54,17.31,slow_draw
600062,2017-12-15,S,-0.28,16.41,fade_high
002311,2017-12-18,S,-0.33,19.87,fade_high
002410,2017-12-22,S,-1.03,13.4,slow_draw
300463,2017-12-22,S,-1.74,22.25,slow_draw
300349,2017-12-26,S,4.42,15.16,slow_draw
600875,2017-12-27,S,0.25,9.51,slow_draw
002614,2017-12-28,S,0.82,15.39,fade_high
600436,2017-12-29,S,2.61,60.77,slow_draw
002617,2018-01-02,S,-0.79,11.0,slow_draw
002508,2018-01-03,S,-0.48,38.43,slow_draw
002672,2018-01-03,S,-2.0,15.88,slow_draw
300357,2018-01-04,S,-0.28,14.69,slow_draw
002262,2018-01-05,S,-1.16,13.29,slow_draw
600062,2018-01-08,S,-1.96,16.7,slow_draw
600436,2018-01-08,S,1.38,60.77,slow_draw
000042,2018-01-09,S,-2.18,16.05,slow_draw
002617,2018-01-09,S,-0.82,10.99,slow_draw
300357,2018-01-11,S,-0.32,14.69,slow_draw
002262,2018-01-12,S,-3.42,14.17,slow_draw
601198,2018-01-19,S,-2.06,13.25,slow_draw
000711,2018-01-22,S,0.42,10.63,slow_draw
002032,2018-01-22,S,1.19,28.97,slow_draw
002727,2018-01-22,S,4.69,17.89,slow_draw
600009,2018-01-22,S,2.92,41.78,slow_draw
603108,2018-01-23,S,-0.11,12.49,fade_high
603393,2018-01-25,S,-3.1,13.43,jump_gap
002695,2018-01-30,S,-2.68,16.07,slow_draw
603108,2018-01-30,S,2.32,12.49,slow_draw
002136,2018-02-08,S,1.43,13.5,slow_draw
002727,2018-02-12,S,5.73,19.03,slow_draw
002491,2018-02-23,S,2.67,12.13,slow_draw
002737,2018-02-27,S,5.85,11.0,slow_draw
600597,2018-03-05,S,-1.34,12.1,slow_draw
600118,2018-03-06,S,1.87,21.48,slow_draw
000553,2018-03-19,S,1.59,14.49,slow_draw
300463,2018-03-19,S,0.57,21.37,slow_draw
