code,date,exit,exit_date,r,stopped,reason
002566,2015-03-20,15.28,2015-07-07,2.028553846153846,True,止损触发(层面1)
600859,2015-03-23,19.66,2015-06-26,7.402456338028169,True,止损触发(层面1)
000869,2015-03-26,39.17,2015-06-26,7.991649038461542,True,止损触发(层面1)
000823,2015-03-30,12.1,2015-05-06,1.5705586206896551,True,止损触发(层面1)
002041,2015-03-31,15.46,2015-06-30,3.3025508474576286,True,止损触发(层面1)
000538,2015-04-02,35.73278978491778,2015-04-09,-0.41130398623327374,False,收线未确认平仓
600535,2015-04-30,28.51,2015-06-23,-0.016170149253731343,True,止损触发(层面1)
000553,2015-05-04,15.98,2015-05-29,-0.016193333333333334,True,止损触发(层面1)
000553,2015-05-25,16.76489910018249,2015-05-28,2.9885092427007427,False,收线未确认平仓
601877,2016-08-29,17.03,2016-12-23,-0.0044575757575733895,True,止损触发(层面1)
600566,2016-09-28,21.13,2016-11-11,0.969470588235294,True,止损触发(层面1)
002649,2016-10-14,11.96,2016-12-12,-0.016527272727272727,True,止损触发(层面1)
000423,2016-10-26,44.89411719112906,2016-11-21,-0.7567344287039549,False,收线未确认平仓
000423,2016-11-16,44.89411719112906,2016-11-21,-0.8743262948873821,False,收线未确认平仓
600830,2016-12-09,10.92,2017-01-16,-1.013961666666666,True,止损触发(层面1)
600156,2016-12-13,11.663926844520919,2016-12-16,-0.4491036533543745,False,收线未确认平仓
600501,2016-12-14,18.93,2017-01-16,-0.016348863636363637,True,止损触发(层面1)
603099,2016-12-15,19.87,2016-12-26,-1.0163677419354835,True,止损触发(层面1)
002321,2016-12-16,10.730873146622736,2016-12-23,-0.08444259531654198,False,收线未确认平仓
600615,2016-12-21,17.36789520403283,2016-12-26,-0.09479310663018976,False,收线未确认平仓
002598,2016-12-27,11.63,2017-01-13,-1.0146196721311467,True,止损触发(层面1)
600774,2016-12-27,16.12,2017-01-13,-0.014412941176470588,True,止损触发(层面1)
600501,2016-12-28,18.59,2017-01-16,-0.019898591549295776,True,止损触发(层面1)
600703,2016-12-30,25.9,2017-11-17,24.61779298245614,True,止损触发(层面1)
002179,2017-01-04,10.92,2017-01-16,-0.015959615384615385,True,止损触发(层面1)
600501,2017-01-05,18.59,2017-01-16,-0.019898591549295776,True,止损触发(层面1)
002008,2017-01-09,31.89,2017-08-04,10.063942857142857,True,止损触发(层面1)
002453,2017-02-03,10.38,2017-02-27,-1.015299999999999,True,止损触发(层面1)
000400,2017-02-08,16.2,2017-02-17,-1.015914102564104,True,止损触发(层面1)
300084,2017-02-09,12.28,2017-04-12,0.0011338983050843833,True,止损触发(层面1)
002188,2017-02-10,28.19,2017-03-02,-0.5278717557251894,False,收线未确认平仓
002462,2017-02-21,32.531544150175016,2017-03-07,-0.17183135209118575,False,收线未确认平仓
600526,2017-02-21,12.32572077799798,2017-03-01,-0.34949097187815586,False,收线未确认平仓
601238,2017-02-24,15.48,2017-04-14,-0.002177777777778041,True,止损触发(层面1)
000400,2017-03-01,16.62963448473324,2017-03-29,-0.36729399183923617,False,收线未确认平仓
000400,2017-03-08,16.62963448473324,2017-03-29,-0.10162986333348124,False,收线未确认平仓
002009,2017-03-13,14.45362226162325,2017-03-21,-0.3770686152304545,False,收线未确认平仓
600129,2017-03-13,17.02,2017-03-30,-1.0165037974683533,True,止损触发(层面1)
002023,2017-03-14,14.014596721352069,2017-04-13,-0.7081131407110007,False,收线未确认平仓
000400,2017-03-15,16.4,2017-04-24,-0.021489655172413795,True,止损触发(层面1)
002023,2017-03-21,13.45,2017-04-18,-1.018716363636365,True,止损触发(层面1)
603989,2017-03-22,23.43,2017-04-11,-1.0138276923076928,True,止损触发(层面1)
002700,2017-03-27,12.08,2017-04-13,-1.0138328358208955,True,止损触发(层面1)
002373,2017-03-31,13.87,2017-04-12,-0.01673174603174603,True,止损触发(层面1)
002581,2017-03-31,25.25,2017-04-12,-0.21583955223880563,False,收线未确认平仓
002573,2017-04-05,18.19,2017-05-08,1.2445397058823573,True,止损触发(层面1)
600967,2017-04-06,13.06,2017-04-24,-0.016543333333333337,True,止损触发(层面1)
600150,2017-04-07,27.59,2017-04-19,-0.01564776119402985,True,止损触发(层面1)
603989,2017-04-07,25.44474635438622,2017-05-04,-0.01891741970290833,False,收线未确认平仓
603968,2017-04-19,19.17252648416155,2017-04-24,-0.04161885173824679,False,收线未确认平仓
002275,2017-04-20,13.14,2017-04-27,-1.0179624999999977,True,止损触发(层面1)
002048,2017-04-25,16.05,2017-04-27,-1.0157679487179456,True,止损(确认期)
002424,2017-04-25,16.57,2017-07-17,-0.0031999999999980707,True,止损触发(层面1)
000988,2017-04-27,14.131664288529798,2017-05-05,-0.4788276152936031,False,收线未确认平仓
600600,2017-04-27,27.688797477709517,2017-05-31,-0.3510321605480016,False,收线未确认平仓
600756,2017-04-27,20.14,2017-06-01,-0.017393181818181818,True,止损触发(层面1)
600706,2017-04-28,15.41,2017-05-09,-1.0147700000000008,True,止损触发(层面1)
002268,2017-05-02,19.047543942722182,2017-05-17,-0.5744411747531317,False,收线未确认平仓
300001,2017-05-02,15.911706846095397,2017-05-08,-0.8272868718728034,False,收线未确认平仓
600292,2017-05-04,11.25,2017-05-08,-1.0141459016393433,True,止损(确认期)
600897,2017-05-04,13.79,2017-07-14,0.5547407407407383,True,止损触发(层面1)
000669,2017-05-09,11.34,2017-05-19,-1.014737288135593,True,止损(确认期)
002643,2017-05-09,12.88,2017-06-01,-0.01717368421052632,True,止损触发(层面1)
600292,2017-05-11,11.25,2017-05-23,-1.0141459016393433,True,止损(确认期)
600004,2017-05-12,10.335524045718017,2017-05-18,-0.16145285153329966,False,收线未确认平仓
000669,2017-05-16,11.34,2017-05-19,-1.014737288135593,True,止损(确认期)
002643,2017-05-16,12.88,2017-06-01,-0.01717368421052632,True,止损触发(层面1)
600566,2017-05-16,22.572647045122515,2017-05-19,-0.1517643085891174,False,收线未确认平仓
002223,2017-05-17,20.129210632327464,2017-06-09,0.26933533910965546,False,收线未确认平仓
002232,2017-05-17,12.1,2017-06-09,-0.018031372549019604,True,止损触发(层面1)
603369,2017-05-19,13.04,2017-10-31,3.963646296296293,True,止损触发(层面1)
002232,2017-05-24,12.1,2017-06-09,-0.018031372549019604,True,止损触发(层面1)
002142,2017-05-25,14.63,2018-02-09,7.6470722222222225,True,止损触发(层面1)
002019,2017-05-31,19.46,2017-08-30,8.584771212121213,True,止损触发(层面1)
600332,2017-06-05,22.31,2017-07-17,-1.0161254716981154,True,止损触发(层面1)
002597,2017-06-08,21.03,2018-02-09,6.265774025974025,True,止损触发(层面1)
600498,2017-06-08,21.5,2017-07-17,0.7979186915887859,True,止损触发(层面1)
600729,2017-06-08,15.478585358748992,2017-06-15,-0.36428352166801076,False,收线未确认平仓
603589,2017-06-09,28.31287733885335,2017-06-14,0.11238735079013823,False,收线未确认平仓
000998,2017-06-13,21.14,2017-07-17,-0.015906930693069306,True,止损触发(层面1)
600335,2017-06-13,10.07,2017-07-12,-1.0143018518518503,True,止损触发(层面1)
000581,2017-06-15,15.07,2017-09-12,1.1781016393442632,True,止损触发(层面1)
600729,2017-06-15,15.99,2017-07-12,-0.0028302631578950178,True,止损触发(层面1)
600420,2017-06-16,13.55,2017-07-14,-1.0170114754098352,True,止损触发(层面1)
002142,2017-06-19,14.63,2018-02-09,7.508588235294121,True,止损触发(层面1)
600085,2017-06-19,29.67,2017-07-06,-0.019438793103448277,True,止损触发(层面1)
