mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002191,2026-01-16,S,S,A,C,S,S,A,4.4000,4.3200,4.1700,0.1500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002322,2026-01-16,S,S,A,C,S,S,A,12.7622,12.6900,12.0600,0.6300,,1,12.6900,13.2490,2026-01-23,0,0.8714,1,12.6900,12.8596,2026-01-30,0,0.2537,1,12.6900,13.2100,2026-02-13,0,0.8096
prebreak,002419,2026-01-16,S,S,A,C,S,S,A,5.6819,5.6200,5.3700,0.2500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002662,2026-01-16,S,S,A,C,S,S,A,3.9494,4.0300,3.8600,0.1700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300146,2026-01-16,S,S,A,C,S,S,A,11.7163,12.1800,11.6500,0.5300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300240,2026-01-16,S,S,A,C,S,S,A,7.7720,7.8700,7.5900,0.2800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300369,2026-01-16,S,S,A,C,S,S,A,8.2200,7.6600,7.3100,0.3500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,301376,2026-01-16,S,S,A,C,S,S,A,19.0605,18.5200,17.6700,0.8500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600060,2026-01-16,S,S,A,C,S,S,A,22.6113,24.1800,22.9500,1.2300,,1,24.1800,23.8953,2026-01-23,0,-0.2462,1,24.1800,24.0015,2026-01-30,0,-0.1599,1,24.1800,22.9500,2026-02-02,1,-1.0143
prebreak,601019,2026-01-16,S,S,A,C,S,S,A,8.5015,8.6600,8.2800,0.3800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
